# OTU,value
OTU_1010,1083
OTU_1000,495
OTU_10228,450
OTU_10,385
OTU_10550,330
OTU_11724,282
OTU_10146,260
OTU_101,223
OTU_10280,220
OTU_1,166
OTU_10141,165
OTU_10919,152
OTU_19881,140
OTU_10260,124
OTU_11852,110
OTU_10736,110
OTU_10007,101
OTU_10016,96
OTU_10859,88
OTU_10147,82
OTU_1053,80
OTU_10246,76
OTU_27668,69
OTU_10399,61
OTU_110195,60
OTU_13321,55
OTU_10841,55
OTU_10071,55
OTU_10383,44
OTU_10014,42
OTU_10641,42
OTU_17842,28
OTU_10202,18
OTU_18203,18
OTU_11,17
OTU_107275,16
OTU_11602,15
OTU_10664,14
OTU_23862,12
OTU_10043,12
OTU_12316,10
OTU_10066,10
OTU_27704,10
OTU_11011,10
OTU_14652,10
OTU_10941,10
OTU_6697,10
OTU_10511,10
OTU_10162,10
OTU_10316,10
OTU_13545,9
OTU_10950,9
OTU_1012,9
OTU_13651,9
OTU_12847,9
OTU_10055,9
OTU_12433,9
OTU_10142,9
OTU_17532,8
OTU_11980,8
OTU_1213,8
OTU_10332,8
OTU_3444,8
OTU_10944,8
OTU_27906,8
OTU_10033,7
OTU_10278,7
OTU_11009,7
OTU_1079,7
OTU_10545,7
OTU_10977,7
OTU_13425,6
OTU_10665,6
OTU_10730,6
OTU_10424,6
OTU_10275,6
OTU_111531,6
OTU_418815,5
OTU_10359,5
OTU_1831,5
OTU_10756,5
OTU_10160,5
OTU_24090,5
OTU_11032,5
OTU_13446,5
OTU_25542,4
OTU_10284,4
OTU_431247,4
OTU_10429,4
OTU_10180,4
OTU_10551,4
OTU_11548,4
OTU_10411,4
OTU_13463,3
OTU_10360,3
OTU_10999,3
OTU_1045,3
OTU_11227,3
OTU_20145,3
OTU_11143,2
OTU_10165,2
OTU_10989,2
OTU_26668,2
OTU_11224,2
OTU_113386,2
OTU_1143,2
OTU_10593,2
OTU_10319,1
OTU_110190,1
OTU_19557,1
OTU_11301,1
OTU_1378,1
OTU_10102,1
OTU_1084,1
